nume_actiune,timestamp
S-a citit lista de persoane,2021-05-26 20:54:42.319
S-a citit lista de angajati,2021-05-26 20:54:42.33
S-a citit lista de Produse,2021-05-26 20:54:42.346
S-a citit lista de bauturi,2021-05-26 20:54:42.356
S-a citit lista de persoane,2021-05-26 20:54:42.375
S-a citit lista de angajati,2021-05-26 20:54:42.383
S-a adaugat un angajat,2021-05-26 20:54:42.39
S-a citit lista de persoane,2021-05-26 20:54:42.406
S-a citit lista de angajati,2021-05-26 20:54:42.413
S-a adaugat un angajat,2021-05-26 20:54:42.42
S-a citit lista de persoane,2021-05-26 20:54:42.434
S-a citit lista de angajati,2021-05-26 20:54:42.442
S-a modificat un angajat,2021-05-26 20:54:42.448
S-a citit lista de Produse,2021-05-26 20:54:42.461
S-a citit lista de bauturi,2021-05-26 20:54:42.468
S-a adaugat un produs,2021-05-26 20:54:42.474
S-a citit lista de Produse,2021-05-26 20:54:42.488
S-a citit lista de bauturi,2021-05-26 20:54:42.494
S-a sters un produs,2021-05-26 20:54:42.499
